text,label,description,cleaned_text,filtered_text,lemmatized_text
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0,sad,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,started feeling sentimental dolls child began collection vintage barbie dolls sixties,start feeling sentimental doll child begin collection vintage barbie doll sixty
i now feel compromised and skeptical of the value of every unit of work i put in,4,fear,i now feel compromised and skeptical of the value of every unit of work i put in,feel compromised skeptical value every unit work put,feel compromise skeptical value every unit work put
i feel irritated and rejected without anyone doing anything or saying anything,3,anger,i feel irritated and rejected without anyone doing anything or saying anything,feel irritated rejected without anyone anything saying anything,feel irritate reject without anyone anything saying anything
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4,fear,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,feeling completely overwhelmed two strategies help feel grounded pour heart journal form letter god end list five things grateful,feeling completely overwhelm two strategy help feel ground pour heart journal form letter god end list five thing grateful
i have the feeling she was amused and delighted,1,joy,i have the feeling she was amused and delighted,feeling amused delighted,feeling amuse delight
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1,joy,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,able help chai lifeline support encouragement great feeling glad able help,able help chai lifeline support encouragement great feeling glad able help
i already feel like i fucked up though because i dont usually eat at all in the morning,3,anger,i already feel like i fucked up though because i dont usually eat at all in the morning,already feel like fucked though dont usually eat morning,already feel like fuck though dont usually eat morning
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0,sad,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,still love wish best longer tolerate effect bm lives fact turned bitter angry person always particularly kind people around feeling stressed,still love wish best longer tolerate effect bm life fact turn bitter angry person always particularly kind people around feeling stress
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0,sad,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,feel inhibited someone elses kitchen like im painting someone elses picture,feel inhibit someone el kitchen like im painting someone el picture
i become overwhelmed and feel defeated,0,sad,i become overwhelmed and feel defeated,become overwhelmed feel defeated,become overwhelm feel defeated
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3,anger,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,feel kinda appalled feels like needs explain wide lenghth body measures etc pp,feel kinda appal feel like need explain wide lenghth body measure etc pp
i feel more superior dead chicken or grieving child,1,joy,i feel more superior dead chicken or grieving child,feel superior dead chicken grieving child,feel superior dead chicken grieve child
i get giddy over feeling elegant in a perfectly fitted pencil skirt,1,joy,i get giddy over feeling elegant in a perfectly fitted pencil skirt,get giddy feeling elegant perfectly fitted pencil skirt,get giddy feeling elegant perfectly fit pencil skirt
i remember feeling acutely distressed for a few days,4,fear,i remember feeling acutely distressed for a few days,remember feeling acutely distressed days,remember feeling acutely distress day
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,5,surprise,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,seen heard read past couple days left feeling impressed companies,see hear read past couple day left feeling impress company
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,3,anger,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day,climb hill feeling frustrate id pretty much pace entirely wrong course factor never ever hamper make dent day
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,1,joy,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,imagine real life scenario would emotionally connect enough someone feel totally accept safe morally acceptable close prolong physical contact sex expect subsequently
i am not sure what would make me feel content if anything,1,joy,i am not sure what would make me feel content if anything,sure would make feel content anything,sure would make feel content anything
i have been feeling the need to be creative,1,joy,i have been feeling the need to be creative,feeling need creative,feeling need creative
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,1,joy,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,however want know something someone causing feel less splendid self step away,however want know something someone causing feel le splendid self step away
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,3,anger,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,feel bit rude writing elderly gentleman ask gifts feel bit greedy christmas mild greed,feel bit rude writing elderly gentleman ask gift feel bit greedy christmas mild greed
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,1,joy,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,need need someone need protected feel safe small find season words,need need someone need protect feel safe small find season word
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1,joy,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,plan share everyday life stories traveling adventures inspirations handmade creations hope also feel inspired,plan share everyday life story traveling adventure inspiration handmade creation hope also feel inspire
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,1,joy,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,already christmas trees got two feeling festive sure spurring get started book,already christmas tree get two feeling festive sure spurring get start book
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,1,joy,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,ive worn little concealer days im feeling brave dont want pale perfect,ive wear little concealer day im feeling brave dont want pale perfect
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,1,joy,i feel very strongly passionate about when some jerk off decides to poke and make fun of us,feel strongly passionate jerk decides poke make fun us,feel strongly passionate jerk decide poke make fun u
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,0,sad,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,feeling discouraged already robbing peter pay paul get cow year cant afford get cow way,feeling discourage already rob peter pay paul get cow year cant afford get cow way
i was feeling listless from the need of new things something different,0,sad,i was feeling listless from the need of new things something different,feeling listless need new things something different,feeling listless need new thing something different
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,1,joy,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,lost special mind worry still sane wanted feel felt reading book know many times said sam special guarantee many times used paragraph tell special,lost special mind worry still sane want feel felt reading book know many time say sam special guarantee many time use paragraph tell special
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,2,love,i can t let go of that sad feeling that i want to be accepted here in this first home of mine,let go sad feeling want accepted first home mine,let go sad feeling want accept first home mine
on a boat trip to denmark,1,joy,on a boat trip to denmark,boat trip denmark,boat trip denmark
i stopped feeling cold and began feeling hot,3,anger,i stopped feeling cold and began feeling hot,stopped feeling cold began feeling hot,stop feeling cold begin feeling hot
i need to feel the dough to make sure its just perfect,1,joy,i need to feel the dough to make sure its just perfect,need feel dough make sure perfect,need feel dough make sure perfect
i found myself feeling a little discouraged that morning,0,sad,i found myself feeling a little discouraged that morning,found feeling little discouraged morning,found feeling little discourage morning
i feel selfish and spoiled,3,anger,i feel selfish and spoiled,feel selfish spoiled,feel selfish spoil
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,4,fear,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,stymied little bit wrote feeling unsure might go somewhere story unintended,stymie little bit write feeling unsure might go somewhere story unintended
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,1,joy,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skins scissor sisters valentine sun fed kayle daddy gerling awake unkind u,bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun fed kayle daddy gerling awake unkind u
i feel you know basically like a fake in the realm of science fiction,0,sad,i feel you know basically like a fake in the realm of science fiction,feel know basically like fake realm science fiction,feel know basically like fake realm science fiction
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,0,sad,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,hate living dads roof gives excuse asshole hes providing live think feels needs make feel unwelcome possible ill leave,hate living dad roof give excuse asshole he provide live think feel need make feel unwelcome possible ill leave
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,5,surprise,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,keep feeling pleasantly surprised supportiveness also ease new situations,keep feeling pleasantly surprise supportiveness also ease new situation
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,1,joy,i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,feeling anymore vigorous sexual activity coming yes misspelt cumming days parts begin fall,feeling anymore vigorous sexual activity coming yes misspell cumming day part begin fall
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,1,joy,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,feel mom graceful warm loving smile rob time nurture heal,feel mom graceful warm love smile rob time nurture heal
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,1,joy,i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,feel talk brother law extremely popular one think stiff,feel talk brother law extremely popular one think stiff
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,2,love,i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,ate could feel gentle tingle throughout almost feeling healing taking place cellular level,ate could feel gentle tingle throughout almost feeling healing taking place cellular level
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,4,fear,i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,began several times week feeling tortured hallucinations moving people figures sounds vibrations,begin several time week feeling torture hallucination move people figure sound vibration
i am now nearly finished the week detox and i feel amazing,5,surprise,i am now nearly finished the week detox and i feel amazing,nearly finished week detox feel amazing,nearly finish week detox feel amaze
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,3,anger,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,feel selfish read back former posts never asked prayers others never considered may others deserve prayers answered,feel selfish read back former post never ask prayer others never consider may others deserve prayer answer
i know the pain parents feel when an enraged child becomes violent,3,anger,i know the pain parents feel when an enraged child becomes violent,know pain parents feel enraged child becomes violent,know pain parent feel enrage child become violent
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,0,sad,i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,roller coaster emotions supposed feelings something unpleasant coming,roller coaster emotion suppose feeling something unpleasant coming
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,2,love,i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,suppose truth needs shared havent feeling faithful lately ive dwelled doubt uncertainty faith,suppose truth need share havent feeling faithful lately ive dwell doubt uncertainty faith
i was feeling brave when i bought it and clearly when i was doing my makeup,1,joy,i was feeling brave when i bought it and clearly when i was doing my makeup,feeling brave bought clearly makeup,feeling brave buy clearly makeup
i am feeling miserable but c i am also the proudest mum on earth,0,sad,i am feeling miserable but c i am also the proudest mum on earth,feeling miserable c also proudest mum earth,feeling miserable c also proud mum earth
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,0,sad,i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,figure family loves us matter around anyone else feel embarrassed michelle goes ballistic,figure family love u matter around anyone else feel embarrass michelle go ballistic
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,1,joy,i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,necessarily think f bombs sex necessary stories feel reassured see print journals,necessarily think f bomb sex necessary story feel reassure see print journal
i can feel my ovaries aching talking to me as i like to put it,0,sad,i can feel my ovaries aching talking to me as i like to put it,feel ovaries aching talking like put,feel ovary aching talking like put
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,0,sad,i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,feel like much chris mostly took many pictures unimportant stuff,feel like much chris mostly take many picture unimportant stuff
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,0,sad,im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,im tired book ready finding given unsuitable images feeling blamed result sit well,im tire book ready finding given unsuitable image feeling blame result sit well
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,1,joy,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future briefs,successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future brief
i think feelings are one of nay the most important things we have,1,joy,i think feelings are one of nay the most important things we have,think feelings one nay important things,think feeling one nay important thing
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,1,joy,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,feel completely honored influence young talented fully alive beautiful girl woman,feel completely honor influence young talented fully alive beautiful girl woman
i feel angered and firey,3,anger,i feel angered and firey,feel angered firey,feel anger firey
i feel like a miserable piece of garbage,0,sad,i feel like a miserable piece of garbage,feel like miserable piece garbage,feel like miserable piece garbage
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,3,anger,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,feel like need make list leanne would appalled thought dont miss anything,feel like need make list leanne would appal thought dont miss anything
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,3,anger,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,drove dannika school feeling little bit rushed greeted turned corner,drove dannika school feeling little bit rush greet turn corner
i remember feeling so hellip furious with the shooter,3,anger,i remember feeling so hellip furious with the shooter,remember feeling hellip furious shooter,remember feeling hellip furious shooter
i feel very happy and excited since i learned so many things,1,joy,i feel very happy and excited since i learned so many things,feel happy excited since learned many things,feel happy excite since learn many thing
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,1,joy,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,feel shows around show horses people trusting relaxed show horses safe quiet handled frequently,feel show around show horse people trust relax show horse safe quiet handle frequently
i only have a couple of things left to make and at the start of december i am done and feeling smug,1,joy,i only have a couple of things left to make and at the start of december i am done and feeling smug,couple things left make start december done feeling smug,couple thing left make start december do feeling smug
i think about how u could make me feel and realize that everything will be ok,1,joy,i think about how u could make me feel and realize that everything will be ok,think u could make feel realize everything ok,think u could make feel realize everything ok
i feel so worthless during those times i was struggling finding work,0,sad,i feel so worthless during those times i was struggling finding work,feel worthless times struggling finding work,feel worthless time struggle finding work
i will be able to lay on my bed in the dark and not feel terrified at least for a while,4,fear,i will be able to lay on my bed in the dark and not feel terrified at least for a while,able lay bed dark feel terrified least,able lay bed dark feel terrify least
i was ready to meet mom in the airport and feel her ever supportive arms around me,2,love,i was ready to meet mom in the airport and feel her ever supportive arms around me,ready meet mom airport feel ever supportive arms around,ready meet mom airport feel ever supportive arm around
im feeling bitter today my mood has been strange the entire day so i guess its that,3,anger,im feeling bitter today my mood has been strange the entire day so i guess its that,im feeling bitter today mood strange entire day guess,im feeling bitter today mood strange entire day guess
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,0,sad,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,mums brother passed away involved car accident bringing present passed form five exams flying colours,mum brother pass away involve car accident bringing present pass form five exam flying colour
i am letting go of the animosity that is towards anyone that i feel has wronged me,3,anger,i am letting go of the animosity that is towards anyone that i feel has wronged me,letting go animosity towards anyone feel wronged,letting go animosity towards anyone feel wrong
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,2,love,i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,talk dogs feel cannot understand words read emotions know supportive decided go home,talk dog feel cannot understand word read emotion know supportive decide go home
i feel like throwing away the shitty piece of shit paper,0,sad,i feel like throwing away the shitty piece of shit paper,feel like throwing away shitty piece shit paper,feel like throw away shitty piece shit paper
im starting to feel wryly amused at the banal comedy of errors my life is turning into,1,joy,im starting to feel wryly amused at the banal comedy of errors my life is turning into,im starting feel wryly amused banal comedy errors life turning,im starting feel wryly amuse banal comedy error life turning
i find every body beautiful and only want people to feel vital in their bodies,1,joy,i find every body beautiful and only want people to feel vital in their bodies,find every body beautiful want people feel vital bodies,find every body beautiful want people feel vital body
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,0,sad,i hear are owners who feel victimized by their associations the associations attorneys or the property manager,hear owners feel victimized associations associations attorneys property manager,hear owner feel victimize association association attorney property manager
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,3,anger,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,say goodbye fam theyre sad crying feel like heartless bitch hey im pretty excited flying first time know also spend year another country,say goodbye fam theyre sad cry feel like heartless bitch hey im pretty excite flying first time know also spend year another country
i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,2,love,i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,wont let child cry feel loving lily little going opportunities lasted short months,wont let child cry feel love lily little going opportunity last short month
i alba i feel good and im fitting in,1,joy,i alba i feel good and im fitting in,alba feel good im fitting,alba feel good im fitting
i feel excited about what im doing again i feel like i have a ton of catching up to do,1,joy,i feel excited about what im doing again i feel like i have a ton of catching up to do,feel excited im feel like ton catching,feel excite im feel like ton catching
i also know how good it feels to look back and see that i honored my word and that helps from the start,1,joy,i also know how good it feels to look back and see that i honored my word and that helps from the start,also know good feels look back see honored word helps start,also know good feel look back see honor word help start
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,0,sad,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,mean really really hard works obtain high technical skill wushu feel kinda ashamed somehow motivated saw kids wushu performances whole heartedly despite tiredness,mean really really hard work obtain high technical skill wushu feel kinda ashamed somehow motivate saw kid wushu performance whole heartedly despite tiredness
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,1,joy,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,feel like things getting little overwhelming spritz toner really helps calm soothe,feel like thing getting little overwhelm spritz toner really help calm soothe
i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,1,joy,i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,hope realize little effort required make person feel better situation whether family member college high school friend neighbor street even complete stranger,hope realize little effort require make person feel better situation whether family member college high school friend neighbor street even complete stranger
i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,1,joy,i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,feeling festive today even going put tree soon finished catching week goings ons coronation street,feeling festive today even going put tree soon finish catching week going ons coronation street
finding out that i am not ill not seriously,1,joy,finding out that i am not ill not seriously,finding ill seriously,finding ill seriously
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,0,sad,i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,alright class combination feeling unsuccessful man handled stress late horrible week resulted almost crying finished grappling,alright class combination feeling unsuccessful man handle stress late horrible week result almost cry finish grappling
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,1,joy,i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,feel rarely advances worthwhile cause always stick rule posting anything online wouldnt prepared say somebodys face,feel rarely advance worthwhile cause always stick rule posting anything online wouldnt prepare say somebody face
i am feeling all useful,1,joy,i am feeling all useful,feeling useful,feeling useful
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,2,love,i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,feel like pains cannot imagine becoming passionate group idea causing pain,feel like pain cannot imagine become passionate group idea causing pain
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,0,sad,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,feel ugly inclined wear ratty jeans sweatshirt beautiful dress though might still wear pair heels around house boost self esteem ever slightly definitely bother buy new pair,feel ugly incline wear ratty jean sweatshirt beautiful dress though might still wear pair heel around house boost self esteem ever slightly definitely bother buy new pair
im not feeling homesick yet so im feeling alright about this,0,sad,im not feeling homesick yet so im feeling alright about this,im feeling homesick yet im feeling alright,im feeling homesick yet im feeling alright
i dance i should feel pretty,1,joy,i dance i should feel pretty,dance feel pretty,dance feel pretty
i workout every morning before and feel fabulous for it,1,joy,i workout every morning before and feel fabulous for it,workout every morning feel fabulous,workout every morning feel fabulous
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,0,sad,i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,feel eyes touch words eyes know assuredly return love know shall vain,feel eye touch word eye know assuredly return love know shall vain
i was feeling fabulous until friday morning when i started to get these awful cramps at work,1,joy,i was feeling fabulous until friday morning when i started to get these awful cramps at work,feeling fabulous friday morning started get awful cramps work,feeling fabulous friday morning start get awful cramp work
i feel honoured to have been able to call them friends to share their brotherhood,1,joy,i feel honoured to have been able to call them friends to share their brotherhood,feel honoured able call friends share brotherhood,feel honour able call friend share brotherhood
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,4,fear,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,begun feel apprehensive thick black rain clouds stormed sky town,begin feel apprehensive thick black rain cloud storm sky town
i had stated to her the reason i feel so fearful is because i feel unsafe,4,fear,i had stated to her the reason i feel so fearful is because i feel unsafe,stated reason feel fearful feel unsafe,state reason feel fearful feel unsafe
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,4,fear,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,feel like getting shaken tsa quite yet pulled side creative croissants lunch,feel like getting shake tsa quite yet pull side creative croissant lunch
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,0,sad,i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,get groups feel really awkward overcompensate talkative getting really quiet,get group feel really awkward overcompensate talkative getting really quiet
i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,2,love,i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,excited finally meet companion companion times especially lonely lonely companion never disappoint companion put arms around make feel loved,excite finally meet companion companion time especially lonely lonely companion never disappoint companion put arm around make feel love
